relative_time,MagneticRotationSensor
0,2796.4825675894945
28,2796.736201540687
95,2796.8251124478743
161,2796.4380892678655
231,2796.5129418777724
295,2796.316201787556
362,2796.6698309830317
429,2796.5447114932167
495,2796.585435822454
561,2796.542984369209
629,2796.5108128037955
695,2796.7076231156934
761,2796.5441723633967
829,2796.412828633932
894,2796.450585059547
961,2796.576437403023
1029,2796.5320675575244
1095,2796.6623753490353
1161,2796.687041580559
1229,2796.4953796357804
1295,2796.4169748671243
1361,2796.672038457518
1429,2796.4441152138215
1495,2796.5807247578214
1561,2796.3659423953777
1629,2796.556891263574
1695,2796.2706999317197
1761,2796.383959805707
1829,2796.3216225097367
1895,2796.3271864164385
1961,2796.40331830674
2028,2796.2099030556515
2095,2796.488992116832
2161,2796.6064162694634
2229,2796.3330357320597
2295,2796.490821726464
2361,2796.358634525161
2429,2796.530816766895
2494,2796.7578718403743
2561,2796.378808175724
2629,2796.4904288318007
2695,2796.373819664172
2761,2796.5774061716793
2829,2796.4463759558917
2894,2796.445962023498
2961,2796.358062616092
3027,2795.6906565380305
3095,2796.482271734484
3161,2796.4140164390606
3229,2796.287525027491
3295,2796.459927423254
3361,2796.2690516853277
3429,2796.4975208757214
3495,2796.13427875726
3561,2796.2515378714793
3629,2796.646369307473
3695,2796.113945619472
3762,2796.116239318226
3829,2796.338957964206
3895,2796.523198737803
3961,2796.148162448321
4029,2796.2775863301686
4095,2796.248634911411
4162,2796.10168184268
4229,2796.2485506687826
4295,2795.9603247050923
4361,2796.13549427016
4429,2796.1690853151586
4495,2796.0802816224177
4561,2796.2519437294322
4629,2796.1982831055366
4695,2796.0698947948904
4761,2796.6124144072846
4829,2796.0601621297856
4895,2796.36308349443
4986,2796.2531512530086
5027,2796.3828186839355
5095,2796.273303231668
5162,2796.085125859908
5229,2796.646398141274
5295,2795.8365209893554
5361,2796.2572217897514
